iter	RMSE
632	320718.3784
633	320676.9026
634	320646.6562
635	320572.9726
636	320524.5162
637	320397.9455
638	320327.3902
639	320306.3462
640	320252.3813
641	320224.3377
642	320178.4945
643	320119.944
644	320077.1935
645	319955.763
646	319785.1029
647	319648.7937
648	319575.1107
649	319530.8831
650	319495.8803
651	319445.1508
652	319376.5858
653	319326.1623
654	319289.2847
655	319249.7716
656	319209.0548
657	319134.1203
658	319096.448
659	319070.1426
660	318941.6093
661	318918.8995
662	318820.603
663	318786.6465
664	318740.5697
665	318727.3447
666	318651.9058
667	318608.0967
668	318545.7159
669	318453.8813
670	318401.5616
671	318313.8199
672	318280.9278
673	318250.8995
674	318210.6389
675	318126.5907
676	318081.2477
677	317977.1221
678	317938.3999
679	317901.3857
680	317875.6577
681	317841.4525
682	317825.7793
683	317801.1406
684	317765.0208
685	317715.7982
686	317592.621
687	317575.1258
688	317524.4669
689	317458.5385
690	317413.9997
691	317301.4078
692	317254.3911
693	317079.1976
694	317037.3653
695	316968.6822
696	316925.8962
697	316894.6579
698	316857.8891
699	316777.3404
700	316724.9964
701	316691.7862
702	316652.4128
703	316535.7576
704	316494.0908
705	316453.4618
706	316424.954
707	316351.79
708	316290.9602
709	316242.8541
710	316204.6324
711	316087.2624
712	316038.8388
713	315905.0429
714	315872.3325
715	315823.572
716	315792.4218
717	315751.9061
718	315671.6036
719	315614.8014
720	315581.9212
721	315524.8249
722	315499.5758
723	315300.12
724	315270.9453
725	315169.9503
726	315144.0266
727	315086.2816
728	314954.2062
729	314880.9532
730	314852.7428
731	314813.5501
732	314758.7028
733	314697.1936
734	314608.8634
735	314573.2936
736	314546.1822
737	314524.159
738	314484.7736
739	314442.9561
740	314414.2988
741	314380.3881
742	314356.4024
743	314327.4884
744	314258.998
745	314213.6086
746	314138.7651
747	314060.1568
748	314000.2052
749	313976.197
750	313924.5557
751	313898.4392
752	313821.6575
753	313807.3339
754	313770.8874
755	313736.321
756	313693.7414
757	313643.1523
758	313603.6562
759	313555.0746
760	313505.7846
761	313480.4004
762	313448.0969
763	313410.5525
764	313366.1067
765	313320.0274
766	313292.1162
767	313239.7875
768	313164.7075
769	313062.0795
770	313028.648
771	312944.6661
772	312881.611
773	312857.9777
774	312826.9475
775	312778.9865
776	312751.2063
777	312715.592
778	312679.4931
779	312637.6623
780	312565.3452
781	312459.5379
782	312420.0493
783	312373.8923
784	312333.2437
785	312307.1622
786	312278.6909
787	312231.9861
788	312187.8782
789	312148.9004
790	312117.1029
791	312040.011
792	311984.7803
793	311914.8442
794	311814.2712
795	311784.0437
796	311715.2918
797	311700.8341
798	311679.1829
799	311649.9782
800	311610.4445
801	311573.3128
802	311540.186
803	311514.7316
804	311493.1371
805	311402.5837
806	311368.7554
807	311268.0355
808	311157.9635
809	311077.1065
810	311043.4427
811	310981.43
812	310852.4666
813	310813.7658
814	310751.6717
815	310695.2538
816	310677.7102
817	310550.5554
818	310518.7989
819	310490.1608
820	310445.5667
821	310372.1226
822	310342.9823
823	310325.5886
824	310260.6909
825	310198.0612
826	310137.9424
827	310110.771
828	310053.0152
829	310015.6702
830	309985.0581
831	309931.1882
832	309883.4934
833	309833.8335
834	309810.6918
835	309682.1675
836	309633.5031
837	309525.5927
838	309481.2053
839	309293.227
840	309256.1062
841	309223.3991
842	309171.329
843	309147.578
844	309107.4325
845	309072.9258
846	309013.4095
847	308916.4633
848	308869.8672
849	308768.7395
850	308626.8032
851	308603.2517
852	308532.2042
853	308503.119
854	308411.5676
855	308339.4037
856	308312.6805
857	308274.4728
858	308187.2421
859	308124.1719
860	308057.7314
861	308033.6123
862	307999.1845
863	307909.4009
864	307868.2126
865	307791.7705
866	307721.281
867	307694.5912
868	307649.4163
869	307627.1025
870	307578.4798
871	307555.0232
872	307517.9424
873	307428.9769
874	307395.1042
875	307345.6682
876	307225.9571
877	307126.386
878	307076.8169
879	307046.2207
880	306964.9842
881	306872.7587
882	306826.5478
883	306803.6334
884	306774.1565
885	306730.5929
886	306666.8296
887	306618.9553
888	306588.5783
889	306504.4809
890	306462.5821
891	306438.467
892	306402.715
893	306366.457
894	306338.9515
895	306318.4669
896	306211.5678
897	306121.548
898	306081.3997
899	305984.4777
900	305872.5292
901	305850.2667
902	305822.4065
903	305800.6213
904	305733.6693
905	305677.4096
906	305641.7419
907	305605.2458
908	305562.7403
909	305538.3054
910	305512.5332
911	305472.0338
912	305388.7466
913	305354.0853
914	305300.6717
